HH 30y or less,HH Female Married,HH 65y or more,HH Female Widow,HH Disabled or chronically ill,HH Minimal education,HH Advanced education,HH Intermediate education,Working age members,Disabled working age members,HH Size,HH Size_sq,Dependency ratio,Owns a car,HH lives in rural area,Governorate_Mafraq,Governorate_Amman,Governorate_Tafila,Governorate_Zarqa,Governorate_Balqa,Governorate_Maan,Governorate_Aqaba,Governorate_Karak,Governorate_Jerash,Governorate_Madaba,Governorate_Ajloun,SCORE,id_transfer,weights,caseser
0,1,0,0,0,1,0,0,1,0,6,36,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5.596740452,56,140.6622199,2114619
0,0,0,0,0,0,0,0,2,0,8,64,3,1,1,1,0,0,0,0,0,0,0,0,0,0,4.56660746,57,192.1236049,2216419
0,0,0,0,0,1,0,0,10,0,16,256,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,4.07556308,58,67.97248483,1309781
0,0,0,0,0,0,0,0,2,0,8,64,3,0,1,0,0,0,0,0,0,0,0,0,1,0,4.821564297,59,54.53850477,1411761
0,1,0,0,0,0,0,1,1,0,6,36,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4.057734634,60,119.4173472,1412075
0,0,0,0,1,0,0,0,2,0.5,7,49,2.5,0,1,0,0,0,0,0,0,0,1,0,0,0,4.34254893,61,60.32539851,3121311
0,0,0,0,0,0,0,0,2,0,8,64,3,1,1,1,0,0,0,0,0,0,0,0,0,0,4.305749868,62,82.19709299,2216731
0,0,0,0,0,1,0,0,3,0,10,100,2.33,0,0,0,0,0,0,0,1,0,0,0,0,0,3.345166802,63,63.49469543,3323971
0,0,1,0,1,0,0,0,5,0,11,121,1.2,0,1,1,0,0,0,0,0,0,0,0,0,0,4.194632369,64,95.14845967,2217619
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,0,0,0,0,0,0,0,0,0,0,1,4.304992351,65,85.21363527,2419479
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.925489305,66,633.8872576,2113939
0,0,0,1,0,1,0,0,1,0,6,36,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4.414533997,67,181.0434489,1102645
0,0,0,0,0,1,0,0,5,0,11,121,1.2,1,1,1,0,0,0,0,0,0,0,0,0,0,4.369575593,68,99.80154426,2217041
0,0,0,0,0,1,0,0,7,0,13,169,0.86,0,0,0,0,0,0,1,0,0,0,0,0,0,4.008638696,69,239.0021508,1207989
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,1,0,0,0,0,1,0,0,0,0,0,0,4.551705535,70,79.70462812,1207019
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,4.689211008,71,71.38542849,3424515
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4.561669523,72,197.2341372,2217349
0,0,0,0,0,0,0,0,8,0,11,121,0.38,1,1,1,0,0,0,0,0,0,0,0,0,0,5.290927367,73,71.5310146,2217105
0,0,1,0,0,0,0,0,4,0,10,100,1.5,0,1,0,0,0,0,1,0,0,0,0,0,0,4.083251067,74,146.9241701,1207669
0,0,0,0,0,1,0,0,1,0,5,25,4,0,1,1,0,0,0,0,0,0,0,0,0,0,4.252188429,75,83.81228289,2215919
0,0,0,0,0,0,0,0,4,0,9,81,1.25,0,1,1,0,0,0,0,0,0,0,0,0,0,4.221169697,76,45.02901108,2216839
0,0,1,0,0,1,0,0,1,0,7,49,6,1,0,0,0,0,1,0,0,0,0,0,0,0,4.782358612,77,73.48046845,1309705
0,0,0,0,0,0,0,0,3,0,8,64,1.67,0,1,1,0,0,0,0,0,0,0,0,0,0,4.24578463,78,83.71852064,2217625
0,0,0,0,0,0,0,0,5,0,10,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.690385539,79,65.8998679,3424589
0,0,0,0,0,0,0,0,5,0,11,121,1.2,1,0,0,0,0,0,0,1,0,0,0,0,0,4.445047385,80,31.86647472,3323985
0,0,0,0,1,0,0,0,2,0.5,6,36,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.927238577,81,146.9241701,1207661
0,0,0,0,0,0,0,0,5,0,10,100,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3.83404966,82,110.2266375,3120615
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4.580188236,83,178.6915582,1207735
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,1,0,0,0,0,0,0,4.057395569,84,270.9517835,1208145
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3.89765349,85,45.752769,3322899
0,0,0,0,0,1,0,0,4,0,11,121,1.75,1,1,1,0,0,0,0,0,0,0,0,0,0,4.452234681,86,39.77098839,2216925
0,0,1,0,0,0,0,0,5,0,10,100,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4.192070927,87,76.21082243,2217771
0,0,0,0,0,0,0,0,3,0,8,64,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,4.009948245,88,364.6375135,2217541
0,0,0,0,0,0,1,0,2,0,8,64,3,1,0,0,0,0,0,0,1,0,0,0,0,0,4.854915551,89,106.8788204,3323589
0,0,1,1,0,0,0,0,2,0,7,49,2.5,0,1,1,0,0,0,0,0,0,0,0,0,0,4.019016921,90,239.8965421,2217571
0,0,0,0,1,0,0,0,3,0.333,9,81,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4.190269301,91,477.0995015,1100791
0,0,0,0,0,0,0,0,8,0.125,13,169,0.62,0,0,0,1,0,0,0,0,0,0,0,0,0,4.519649957,92,134.2353971,1105081
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,0,0,1,0,0,0,3.983149082,93,33.01803223,3121415
0,0,0,0,0,0,0,1,2,0,9,81,3.5,1,1,0,0,0,0,0,0,1,0,0,0,0,4.007209919,94,28.92917682,3424369
0,0,0,0,0,0,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4.207444599,95,281.5899043,1101709
0,0,0,0,0,0,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4.562321552,96,828.4427392,1102355
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.881925508,97,517.4284698,1308809
1,0,0,0,1,1,0,0,5,0.4,10,100,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3.630547122,98,83.71852064,2217621
0,0,0,0,0,1,0,0,7,0,12,144,0.71,0,1,0,0,0,0,0,0,0,1,0,0,0,4.182904201,99,76.08307014,3120835
0,0,1,0,0,0,0,0,4,0,10,100,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,4.473379962,100,139.9860427,3120785
0,0,0,0,0,0,0,0,6,0,11,121,0.83,0,1,0,0,0,0,0,0,0,0,0,1,0,4.099062261,101,36.30704109,1411931
0,0,0,1,0,0,0,0,5,0,10,100,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.923415722,102,43.88482712,3424711
