HH 30y or less,HH Female Married,HH 65y or more,HH Female Widow,HH Disabled or chronically ill,HH Minimal education,HH Advanced education,HH Intermediate education,Working age members,Disabled working age members,HH Size,HH Size_sq,Dependency ratio,Owns a car,HH lives in rural area,Governorate_Mafraq,Governorate_Amman,Governorate_Tafila,Governorate_Zarqa,Governorate_Balqa,Governorate_Maan,Governorate_Aqaba,Governorate_Karak,Governorate_Jerash,Governorate_Madaba,Governorate_Ajloun,SCORE,id_transfer
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,3.663195279,73
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,3.666516982,74
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.666736089,75
0,0,0,0,0,1,0,0,7,0,16,256,1.29,0,0,0,1,0,0,0,0,0,0,0,0,0,3.670335129,76
0,0,0,0,0,0,0,1,1,0,7,49,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3.595968893,77
0,0,0,0,0,1,0,0,3,0,10,100,2.33,1,0,0,0,0,0,0,0,0,1,0,0,0,3.672457855,78
0,0,0,0,1,1,0,0,2,0.5,6,36,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.674835464,79
0,0,0,0,1,0,0,0,2,0,7,49,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.677175515,80
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3.67985763,81
0,0,0,0,1,1,0,0,3,0,10,100,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,3.681124462,82
0,0,0,0,1,0,0,0,8,0,10,100,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,3.681242869,83
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.683442827,84
0,0,0,0,0,0,0,0,5,0,9,81,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.687789972,85
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.688836596,86
0,0,0,0,1,0,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70373288,87
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.709074161,88
0,0,0,0,0,1,0,0,2,0,6,36,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.707476289,89
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3.709741569,90
0,0,0,0,1,0,1,0,2,0.5,8,64,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3.654976825,91
0,0,0,0,1,1,0,0,3,0,8,64,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,3.712064834,92
0,0,0,1,0,0,1,0,1,0,6,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.712205279,93
0,0,0,0,0,1,0,0,2,0,8,64,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3.712708889,94
0,0,0,0,1,0,0,0,2,0.5,6,36,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3.715010057,95
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.716333494,96
0,0,0,0,1,1,0,0,1,0,6,36,5,1,0,0,0,0,0,0,0,1,0,0,0,0,3.71951373,97
0,0,0,0,0,1,0,0,3,0,8,64,1.67,0,1,1,0,0,0,0,0,0,0,0,0,0,3.720387205,98
0,0,0,0,0,0,1,0,2,0,9,81,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0,3.722706373,99
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.724463756,100
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3.727541117,101
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.727876928,102
0,0,0,0,1,1,0,0,3,0,10,100,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,3.731804835,103
